Date,Home_team,Away_team,home_total_goals,total_away_goals,matches played
Nov 20 2021 - 12:30pm,Leicester City,Chelsea,24,16,11
Nov 20 2021 - 3:00pm,Aston Villa,Brighton & Hove Albion,25,14,11
Nov 20 2021 - 3:00pm,Burnley,Crystal Palace,23,18,11
Nov 20 2021 - 3:00pm,Newcastle United,Brentford,22,14,11
Nov 20 2021 - 3:00pm,Norwich City,Southampton,22,14,11
Nov 20 2021 - 3:00pm,Watford,Manchester United,24,18,11
Nov 20 2021 - 3:00pm,Wolverhampton Wanderers,West Ham United,21,15,11
Nov 20 2021 - 5:30pm,Liverpool,Arsenal,29,12,11
Nov 21 2021 - 2:00pm,Manchester City,Everton,21,14,11
Nov 21 2021 - 4:30pm,Tottenham Hotspur,Leeds United,22,19,11